Electrical Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Circuit Number,Classification Number,Classification Title,Comments,Cost,Count,Description,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtu,,,L4,,53,,P400,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtw,,,L4,,54,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmt4,,,L4,,55,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmt5,,,L3,,56,,P307,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,2,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmt7,,,L3,,57,,P307,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,1,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmt0,,,L4,,58,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,3,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtC,,,L4,,59,,P408,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,5,23.80.50.11.17,,,,1,,120 V/1-180 VA,4' - 0",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Counter Top,,2Up1U7k117ie2$BGfzSmtF,,,L4,,60,,P408,New Construction,None,Counter Top,,,2CTEMFkBXCdewbyEowT_As,,,
,,,,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmt9,,,L4,,61,,,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: Standard,,2Up1U7k117ie2$BGfzSmtA,,,L4,,62,,,New Construction,None,Standard,,,3lAjmFWRfDlRceYN7PhLke,,,
,,,4,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2Up1U7k117ie2$BGfzSmtU,,,L3,,63,,P307,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
,,,6,23.80.50.11.17,,,,1,,120 V/1-180 VA,1' - 6",,,,,By Type,,Default,,Duplex Receptacle,Duplex Receptacle: GFCI,,2Up1U7k117ie2$BGfzSmtO,,,L3,,64,,P307,New Construction,None,GFCI,,,3lAjmFWRfDlRceYN7PhLkg,,,
