Air Terminal Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Flow,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Max Flow,Min Flow,Model,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,1,No,,8' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,90 CFM,,20hMZHm2HFUApm3Yl$vO_I,,,L2,,49,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 8,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,17' - 2",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,1GxKgJIob0UeqSCp$F_shM,,,L1 - Block 43,,51,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 1,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,Yes,,7' - 9",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,1GxKgJIob0UeqSCp$F_vJx,,,L2,,52,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 11,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,7' - 9",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,1GxKgJIob0UeqSCp$F_vCr,,,L2,,53,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 11,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,7' - 9",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,1GxKgJIob0UeqSCp$F_vEV,,,L2,,55,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 11,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,7' - 9",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,1GxKgJIob0UeqSCp$F_vBQ,,,L2,,56,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 11,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,23.75.70.21.27.11,,,,1,Yes,,9' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,1UXyO$h5zFYPD6dfB6a2qc,,,L1 - Block 37,,59,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 13,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,23.75.70.21.27.11,,,,1,No,,9' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,1UXyO$h5zFYPD6dfB6a2s1,,,L1 - Block 37,,60,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 13,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,7' - 7 21/32",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,16z2MfSxDDWumzU2PTFoe_,,,L2,,61,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 12,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,7' - 7 21/32",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,16z2MfSxDDWumzU2PTFojF,,,L2,,63,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 12,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
