Air Terminal Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Flow,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Max Flow,Min Flow,Model,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,,,,1,No,,10' - 8",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TY58,,,L5,,394,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 57,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TY59,,,L5,,395,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 57,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TY56,,,L5,,396,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 57,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TY57,,,L5,,397,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 57,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 10",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TY54,,,L5,,398,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 57,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 10",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TY55,,,L5,,399,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 57,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,9' - 4 7/16",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAW,,,L5,,400,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,9' - 4 7/16",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAX,,,L5,,401,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,Yes,,9' - 4 7/16",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYA_,,,L5,,402,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,9' - 4 7/16",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYA$,,,L5,,403,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 8",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAy,,,L5,,404,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 8",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAz,,,L5,,405,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 8",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAw,,,L5,,406,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAx,,,L5,,407,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAu,,,L5,,408,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAv,,,L5,,409,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAs,,,L5,,410,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYAt,,,L5,,411,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 60,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,0' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,2xfbclSavBXOKD2eq9TYBV,,,,,426,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 24,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,No,,0' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,2xfbclSavBXOKD2eq9TYBT,,,,,428,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 25,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,No,,0' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,2xfbclSavBXOKD2eq9TYCG,,,,,430,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 26,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,23.75.70.21.27.11,,,,1,No,,0' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,2xfbclSavBXOKD2eq9TYDF,,,,,431,,,,New Construction,None,5"x5",,Supply Air,Mechanical Supply Air 64,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,Yes,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYD7,,,L5,,432,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 64,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYD4,,,L5,,433,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 64,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYD5,,,L5,,434,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 64,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,12' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYD2,,,L5,,435,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 64,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJC,,,L5,,443,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJD,,,L5,,444,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJA,,,L5,,445,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJB,,,L5,,446,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJ8,,,L5,,447,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJ9,,,L5,,448,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJ6,,,L5,,449,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,11' - 1",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYJ7,,,L5,,450,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,0' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,2xfbclSavBXOKD2eq9TYJS,,,,,451,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 28,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,No,,10' - 4 1/2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYGh,,,L5,,452,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,Yes,,10' - 4 1/2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYGe,,,L5,,453,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 73,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,23.75.70.21.27.11,,,,1,No,,0' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,2xfbclSavBXOKD2eq9TYG$,,,,,454,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 73,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,10' - 10",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYHl,,,L5,,459,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 90,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 10",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYHi,,,L5,,460,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 90,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 10",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYHj,,,L5,,461,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 90,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 10",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYHg,,,L5,,462,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 90,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,23.75.70.21.27.11,,,,1,Yes,,0' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,2xfbclSavBXOKD2eq9TYHX,,,,,463,,,,New Construction,None,9"x9",,Supply Air,Mechanical Supply Air 90,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,9' - 11 7/8",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYHp,,,L5,,464,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 90,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,0' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,2xfbclSavBXOKD2eq9TYHS,,,,,465,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 30,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,No,,0' - 0",,,,By Type,,Default,,Air Terminal-Exhaust Cap-FB,Air Terminal-Exhaust Cap-FB: 4" DIA,0 CFM,,2xfbclSavBXOKD2eq9TYLS,,,,,467,,,,New Construction,None,4"ø,,Exhaust Air,Mechanical Exhaust Air 27,Exhaust Air,4" DIA,,,0uItpyAgXCovb3y_iwf_Qg,,,
,,,,,,,1,No,,10' - 6",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYLM,,,L5,,469,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 65,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 6",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYLN,,,L5,,470,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 65,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 6",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYLK,,,L5,,471,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 65,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,-3' - 2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYOw,,,L5,,474,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 65,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,-3' - 2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2xfbclSavBXOKD2eq9TYOx,,,L5,,475,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 65,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,23.75.70.21.27.11,,,,1,Yes,,0' - 0",,,,By Type,,Default,,Supply Diffuser - Square - Hosted,Supply Diffuser - Square - Hosted: 12" x 12",100 CFM,,2xfbclSavBXOKD2eq9TYOu,,,,,476,,,,New Construction,None,6"x6",,Supply Air,Mechanical Supply Air 65,Supply Air,12" x 12",,,0B82sWVf587AtmxOGOUsqV,,,
,,,,,,,1,No,,10' - 2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0FdU$,,,L1 - Block 37,,477,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0FdV5,,,L1 - Block 37,,478,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,Yes,,10' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0FdQM,,,L1 - Block 37,,480,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0FdRw,,,L1 - Block 37,,481,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0FdRQ,,,L1 - Block 37,,482,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0Fd5X,,,L1 - Block 37,,483,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0Fd5y,,,L1 - Block 37,,484,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,10' - 0",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0Fd6W,,,L1 - Block 37,,485,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
,,,,,,,1,No,,-12' - 1 1/2",,,,By Type,,Default,,Supply Grille - Double Deflection - Curve Face Rectangular Neck,Supply Grille - Double Deflection - Curve Face Rectangular Neck: 16x4 Connection 8 Diameter Duct,100 CFM,,2jT9$NWlTFkPd98E_0Fd1c,,,L3,,486,,,,New Construction,None,16"x4",,Supply Air,Mechanical Supply Air 50,Supply Air,16x4 Connection 8 Diameter Duct,,,0d1xlIsmn0D9DcDwK83sQP,,,
