Lighting Fixture Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparent Power,Assembly Code,Assembly Description,Assembly Name,Ballast Loss,Circuit Number,Classification Number,Classification Title,Coefficient of Utilization,Comments,Cost,Count,Description,Efficacy,Electrical Data,Elevation from Level,Enlarged Views Only,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Illuminance,Image,Initial Color Temperature,Keynote,Lamp,Lamp Lumen Depreciation,Lamp Tilt Loss,Length,Level,Luminaire Dirt Depreciation,Luminous Flux,Luminous Intensity,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Surface Depreciation Loss,Switch ID,Temperature Loss,Total Light Loss Factor,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Voltage Loss,Wattage,Wattage Comments,Width
,,,,,19,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCi,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,56,,P102,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCg,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,57,,P202,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,18,,,,,,1,,149 lm/W,120 V/1-180 VA,10' - 3",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCe,1 fc,,3200 K,,,,,1' - 6",L2,,1380 lm,110 cd,,58,,P102,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCs,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,59,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCq,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,60,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCo,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,61,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCm,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,62,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyC_,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,63,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCy,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,64,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCw,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,65,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,10,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyCu,1 fc,,3200 K,,,,,1' - 6",L3,,1380 lm,110 cd,,66,,P303,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyF6,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,67,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyF4,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,68,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyF2,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,69,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyF0,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,70,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyFE,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,71,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyFC,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,72,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyFA,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,73,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
,,,,,9,,,,,,1,,149 lm/W,120 V/1-180 VA,12' - 10",,,,,By Type,,Default,,Pendant-Dome,Pendant-Dome: 18" D x 15" H,,1wejEoruvD5hQq7iipxyF8,1 fc,,3200 K,,,,,1' - 6",L4,,1380 lm,110 cd,,74,,P403,New Construction,None,,,,1,18" D x 15" H,,,1wejEoruvD5hQq7iipxxg3,,F2,,,9 W,,1' - 6"
150 VA,D5020220,Lighting - Incandescent,,1,2,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,8' - 4",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 12" Drop,,1wejEoruvD5hQq7iipxy65,2 fc,,2800 K,,A-21,1,1,,L2,1,2780 lm,221 cd,,75,,P200,New Construction,None,1,,1,1,150W - 120V 12" Drop,,,1wejEoruvD5hQq7iipxyFU,,F11,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,2,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,8' - 4",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 12" Drop,,1wejEoruvD5hQq7iipxy64,2 fc,,2800 K,,A-21,1,1,,L2,1,2780 lm,221 cd,,76,,P200,New Construction,None,1,,1,1,150W - 120V 12" Drop,,,1wejEoruvD5hQq7iipxyFU,,F11,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,2,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,8' - 4",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 12" Drop,,1wejEoruvD5hQq7iipxy63,2 fc,,2800 K,,A-21,1,1,,L2,1,2780 lm,221 cd,,77,,P200,New Construction,None,1,,1,1,150W - 120V 12" Drop,,,1wejEoruvD5hQq7iipxyFU,,F11,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,2,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,8' - 4",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 12" Drop,,1wejEoruvD5hQq7iipxy62,2 fc,,2800 K,,A-21,1,1,,L2,1,2780 lm,221 cd,,78,,P200,New Construction,None,1,,1,1,150W - 120V 12" Drop,,,1wejEoruvD5hQq7iipxyFU,,F11,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,3,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,10' - 11",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 36" Drop,,1wejEoruvD5hQq7iipxy61,2 fc,,2800 K,,A-21,1,1,,L3,1,2780 lm,221 cd,,79,,P300,New Construction,None,1,,1,1,150W - 120V 36" Drop,,,1wejEoruvD5hQq7iipxyFg,,F10,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,3,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,10' - 11",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 36" Drop,,1wejEoruvD5hQq7iipxy60,2 fc,,2800 K,,A-21,1,1,,L3,1,2780 lm,221 cd,,80,,P300,New Construction,None,1,,1,1,150W - 120V 36" Drop,,,1wejEoruvD5hQq7iipxyFg,,F10,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,3,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,10' - 11",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 36" Drop,,1wejEoruvD5hQq7iipxy6F,2 fc,,2800 K,,A-21,1,1,,L3,1,2780 lm,221 cd,,81,,P300,New Construction,None,1,,1,1,150W - 120V 36" Drop,,,1wejEoruvD5hQq7iipxyFg,,F10,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,3,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,10' - 11",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 36" Drop,,1wejEoruvD5hQq7iipxy6E,2 fc,,2800 K,,A-21,1,1,,L3,1,2780 lm,221 cd,,82,,P300,New Construction,None,1,,1,1,150W - 120V 36" Drop,,,1wejEoruvD5hQq7iipxyFg,,F10,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,3,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,5' - 8",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 12" Drop,,1wejEoruvD5hQq7iipxy6D,2 fc,,2800 K,,A-21,1,1,,L1 - Block 43,1,2780 lm,221 cd,,83,,P106/7,New Construction,None,1,,1,1,150W - 120V 12" Drop,,,1wejEoruvD5hQq7iipxyFU,,F11,,1,150 W,,
150 VA,D5020220,Lighting - Incandescent,,1,3,23.80.70.11.11,,,,,1,,19 lm/W,120 V/1-150 VA,5' - 8",,,,,By Type,,Default,,Pendant Light - Hemisphere,Pendant Light - Hemisphere: 150W - 120V 12" Drop,,1wejEoruvD5hQq7iipxy6C,2 fc,,2800 K,,A-21,1,1,,L1 - Block 43,1,2780 lm,221 cd,,84,,P106/7,New Construction,None,1,,1,1,150W - 120V 12" Drop,,,1wejEoruvD5hQq7iipxyFU,,F11,,1,150 W,,
20 VA,,,,,4,23.80.70.11.14,,0.745302,,,1,,149 lm/W,120 V/1-20 VA,10' - 11",,,,,By Type,,Default,,Recessed Lamp - Round - LED,Recessed Lamp - Round - LED: 4" Trimmed Downlight,,1wejEoruvD5hQq7iipxy6B,-14406 fc,,2700 K,,LED,,,,L3,,700 lm,-1440600 cd,,85,,P300,New Construction,None,,,,1,4" Trimmed Downlight,,,1wejEoruvD5hQq7iipxwYO,,F3,,,5 W,,
20 VA,,,,,2,23.80.70.11.14,,0.837023,,,1,,149 lm/W,120 V/1-20 VA,8' - 4",,,,,By Type,,Default,,Recessed Lamp - Round - LED,Recessed Lamp - Round - LED: 4" Trimmed Downlight,,1wejEoruvD5hQq7iipxy6A,-14406 fc,,2700 K,,LED,,,,L2,,700 lm,-1440600 cd,,86,,P200,New Construction,None,,,,1,4" Trimmed Downlight,,,1wejEoruvD5hQq7iipxwYO,,F3,,,5 W,,
20 VA,,,,,3,23.80.70.11.14,,0.985605,,,1,,149 lm/W,120 V/1-20 VA,5' - 8",,,,,By Type,,Default,,Recessed Lamp - Round - LED,Recessed Lamp - Round - LED: 4" Trimmed Downlight,,1wejEoruvD5hQq7iipxy69,-14406 fc,,2700 K,,LED,,,,L1 - Block 43,,700 lm,-1440600 cd,,87,,P106/7,New Construction,None,,,,1,4" Trimmed Downlight,,,1wejEoruvD5hQq7iipxwYO,,F3,,,5 W,,
20 VA,,,,,3,23.80.70.11.14,,0.985605,,,1,,149 lm/W,120 V/1-20 VA,5' - 8",,,,,By Type,,Default,,Recessed Lamp - Round - LED,Recessed Lamp - Round - LED: 4" Trimmed Downlight,,1wejEoruvD5hQq7iipxy68,-14406 fc,,2700 K,,LED,,,,L1 - Block 43,,700 lm,-1440600 cd,,88,,P106/7,New Construction,None,,,,1,4" Trimmed Downlight,,,1wejEoruvD5hQq7iipxwYO,,F3,,,5 W,,
5 VA,,,,,,23.80.70.11.14,,1.074001,,,1,,250 lm/W,120 V/1-5 VA,3' - 1",,,,,By Type,,Default,,Recessed Lamp - Linear - LED,Recessed Lamp - Linear - LED: 48'',,1wejEoruvD5hQq7iipxy6N,1 fc,,3200 K,,LED,,,,L1 - Block 43,,1250 lm,99 cd,,89,,,New Construction,None,,,,1,48'',,,1wejEoruvD5hQq7iipxx0D,,,,,5 W,20,
