Data Device Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Circuit Number,Classification Number,Classification Title,Comments,Cost,Count,Description,Electrical Data,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,IFC Predefined Type,IfcGUID,Image,Keynote,Level,Manufacturer,Mark,Model,Panel,Phase Created,Phase Demolished,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qxKV,,,L3,,35,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qa2A,,,L3,,36,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qa1d,,,L3,,37,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,0InKO$aSz2yQz3IoT3qa0K,,,L3,,38,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3efswn5OvAgP4OL1$fgHIo,,,L3,,39,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2jEL9ibH999OK9kpTkEWJ2,,,L4,,40,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2jEL9ibH999OK9kpTkEWJP,,,L4,,41,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2jEL9ibH999OK9kpTkEWHl,,,L5,,42,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2jEL9ibH999OK9kpTkEXoA,,,L4,,43,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,05XMGzJWf6AfkRoScSdjou,,,L4,,44,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,05XMGzJWf6AfkRoScSdjn2,,,L4,,45,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,05XMGzJWf6AfkRoScSdjnW,,,L4,,46,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,05XMGzJWf6AfkRoScSdjr5,,,L4,,47,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,05XMGzJWf6AfkRoScSdjqE,,,L4,,48,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,05XMGzJWf6AfkRoScSdjqp,,,L4,,49,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3lWwpBK5z9JPkrwYdL1WRU,,,L4,,50,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,3lWwpBK5z9JPkrwYdL1WRv,,,L4,,51,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2wTdTK0a92be$dZ8OoEj0I,,,L5,,52,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
,,,,23.85.50.17.11,,,,1,,,1' - 6",,,,By Type,,Default,,Data Outlet,Data Outlet: Plain,,2wTdTK0a92be$dZ8OoEj3j,,,L5,,53,,,New Construction,None,Plain,,,04De74FDTEvO21H5TrMnky,,,
