Window Schedule 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Construction Type,Cost,Count,Description,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Family Thumbnail,Finish,Glazing Thickness,Glazing Type,Head,Head Height,Heat Transfer Coefficient (U),Height,IFC Predefined Type,IfcGUID,Image,Jamb,Keynote,Level,Manufacturer,Mark,Material,Model,Operation,Phase Created,Phase Demolished,Rough Height,Rough Width,Sill,Sill Height,Solar Heat Gain Coefficient,Thermal Resistance (R),Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Visual Light Transmittance,Width
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed-Transom,Window-Fixed-Transom: 50" x 80",,ANOD,1",IGU,,10' - 2",,6' - 8",,2DrlDkmyDFLerHNnIG0pqp,,,,M1,,141,ALUM,,,New Construction,None,6' - 8 1/2",4' - 2 1/2",,3' - 6",,,50" x 80",,,2F3zBK1BH8DBfhr$IH1OBy,,61,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,7' - 8 1/2",,5' - 0",,2DrlDkmyDFLerHNnIG0pt5,,,,L3,,147,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,2' - 8 1/2",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2DrlDkmyDFLerHNnIG0pfu,,,,L4,,148,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.14,,,,,1,,,,,By Type,,Default,,Window-Sliding-Double,Window-Sliding-Double: 50" x 60",,ANOD,1",IGU,,8' - 0",,5' - 0",,2DrlDkmyDFLerHNnIG0pfp,,,,L4,,149,ALUM,,,New Construction,None,5' - 0 1/2",4' - 2 1/2",,3' - 0",,,50" x 60",,,2F3zBK1BH8DBfhr$IH1Uj8,,59,,,4' - 2"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$no5k,,,,L5,,158,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$no5o,,,,L5,,159,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$noxk,,,,L5,,160,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$notV,,,,L5,,161,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$nor0,,,,L5,,167,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
B2020100,Windows,,23.30.20.17.11,,,,,1,,,,,By Type,,Default,,Window-Fixed,Window-Fixed: 39" x 76" (Solar Wall),,ANOD,1",IGU,,8' - 7",,6' - 4",,04b3cqL6T7nASkHPv$nor4,,,,L5,,168,ALUM,,,New Construction,None,6' - 4 1/2",3' - 3 1/2",,2' - 3",,,39" x 76" (Solar Wall),,,0m3ylIKyvFIf90OJWdROY$,,57,,,3' - 3"
