Duct Fitting Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Cost,Count,Critical Path,Description,Elevation from Level,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Free Size,IFC Predefined Type,IfcGUID,Image,Insulation Thickness,Insulation Type,Keynote,Level,Lining Thickness,Lining Type,Manufacturer,Mark,Model,Overall Size,Phase Created,Phase Demolished,Size,System Abbreviation,System Classification,System Name,System Type,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,URL,Volume
,,,,23.75.70.14,,,,1,No,,8' - 0",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83n1W,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 35,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
,,,,23.75.70.14,,,,1,No,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSo,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSk,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSi,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,9' - 4",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSg,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,8' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSc,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,8' - 3",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSY,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,9' - 2",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSU,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.05 CF
,,,,23.75.70.14,,,,1,No,,9' - 2",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSQ,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSM,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.03 CF
,,,,23.75.70.14,,,,1,No,,8' - 8",,,,By Type,,Default,,Round Elbow,Round Elbow: 1.5 D,4"ø-4"ø,,0d1xlIsmn0D9DcDwK83nSI,,0",,,L2,0",,,,,4"ø-4"ø,New Construction,None,4"ø-4"ø,,Exhaust Air,Mechanical Exhaust Air 36,Exhaust Air,1.5 D,,,1qeKH8MwjCTgLkTOQ9aYpz,,,,0.07 CF
