Door Schedule 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly Code,Assembly Description,Assembly Name,Classification Number,Classification Title,Comments,Construction Type,Cost,Count,Description,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Family,Family and Type,Family Thumbnail,Finish,Fire Rating,Frame Finish,Frame Material,Frame Type,Function,Hardware,Head,Head Height,Heat Transfer Coefficient (U),Height,IFC Predefined Type,IfcGUID,Image,Jamb,Keynote,Level,Manufacturer,Mark,Material,Model,Operation,Phase Created,Phase Demolished,Rough Height,Rough Width,Sill,Sill Height,Solar Heat Gain Coefficient,Thermal Resistance (R),Thickness,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Under Cut,URL,Visual Light Transmittance,Width
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,0K0FV0u6b9L9sDGL7lHFwH,,,,L5,,507B,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,0K0FV0u6b9L9sDGL7lHARa,,,,L3,,303A,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,28fEL2KJH3nefH9oQJhuKS,,,,L3,,303B,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,28fEL2KJH3nefH9oQJhuQx,,,,L2,,202A,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,28fEL2KJH3nefH9oQJhuS7,,,,L4,,403A,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_saw2m,,,,L2,,205A,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_saw5s,,,,L2,,202B,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_saw6p,,,,L2,,205B,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawAN,,,,L3,,306B,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawAa,,,,L4,,407B,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawCK,,,,L3,,307A,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawCb,,,,L4,,408A,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (Cores),,PNT,NR,PNT,HM,,Exterior,A4,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawDo,,,,L5,,506B,WD,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (Cores),,,3IP1NcR8H1yQoZHEVfIr$y,,75,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawLJ,,,,L3,,307C,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawLG,,,,L3,,306A,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawLf,,,,L4,,408C,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawMM,,,,L4,,407A,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawMl,,,,L5,,506D,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawO2,,,,L4,,409A,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawO3,,,,L4,,410A,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 10",,7' - 0",,321qo6Jt58aRGW1V_sawQL,,,,L3,,308A,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 10",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,321qo6Jt58aRGW1V_sawQI,,,,L3,,309A,STL,,,New Construction,None,7' - 1 1/4",3' - 2 1/2",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (45 MIN),,PNT,45 MIN,PNT,HM,,Exterior,A2,,7' - 0",,7' - 0",,0VVnxgi8r1RvuSi7dfo6ou,,,,Parking,,P02,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (45 MIN),,,0Nk03SrE1FMvD98lK7Y4z9,,80,--,,,3' - 0"
B2030200,Solid Exterior Doors,,23.30.10.00,,,,,1,,,,,By Type,,Default,,Door-Passage-Single-Flush,Door-Passage-Single-Flush: 36" x 84" (60 MIN),,PNT,60 MIN,PNT,HM,,Exterior,A1,,7' - 0",,7' - 0",,3aJHYCIlHAIBfmGnzR8c2E,,,,Parking,,P03,STL,,,New Construction,None,7' - 4",3' - 4",,0' - 0",,,0' - 1 3/4",36" x 84" (60 MIN),,,0O5ZCyMCrCOQ6uiL7qfh6G,,78,--,,,3' - 0"
