Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorptance,Angle From Vertical,Area,Assembly Code,Assembly Description,Assembly Name,Base Constraint,Base Offset,Bottom Width,Comments,Cost,Count,Cross-Section,Default Exterior Angle,Default Interior Angle,Description,Enable Angle Overrides,Estimated Reinforcement Volume,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Exterior Angle,Family,Family and Type,Family Thumbnail,Fire Rating,Function,Heat Transfer Coefficient (U),IFC Predefined Type,IfcGUID,Image,Interior Angle,Keynote,Length,Manufacturer,Mark,Model,Phase Created,Phase Demolished,Rebar Cover,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Rebar Cover - Other Faces,Roughness,Structural Material,Structural Usage,Thermal Mass,Thermal Resistance (R),Top Constraint,Top Offset,Top Width,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Unconnected Height,URL,Volume,Width,Width Measured At
0.7,,205 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Party - 6 1/8" (2-hr),,2 HR,Interior,0.0234 BTU/(h·ft²·°F),,3YfnAv$UvEUhbGFWLHkkBZ,,,,9' - 8 1/2",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,5.1774 BTU/(ft²·°F),42.8246 (h·ft²·°F)/BTU,Up to level: L3,0' - 0",,Party - 6 1/8" (2-hr),,,1UzjuOoQr4P85_KNmJAtS$,,W01,22' - 3 1/2",,200.99 CF,0' - 11 3/4",
0.7,,564 SF,B2010,Exterior Walls,,L3,-4' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Living Wall,,,Exterior,,,3gwOWmx3v1CALTUKOuFv8d,,,,16' - 3 1/2",,,,New Construction,None,,,,,3,Living Wall,Non-bearing,,,Up to level: R2,0' - 0",,Living Wall,,,3gwOWmx3v1CALTUKOuFv8A,,,44' - 0",,46.99 CF,0' - 1",
0.7,,564 SF,B2010,Exterior Walls,,L3,-4' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Living Wall,,,Exterior,,,3gwOWmx3v1CALTUKOuFs_b,,,,16' - 3 1/2",,,,New Construction,None,,,,,3,Living Wall,Non-bearing,,,Up to level: R2,0' - 0",,Living Wall,,,3gwOWmx3v1CALTUKOuFv8A,,,44' - 0",,46.99 CF,0' - 1",
0.7,,40 SF,B2010,Exterior Walls,,L1 - Block 37,1' - 5 1/2",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 3 1/8",,,Soffit,6.8169 BTU/(h·ft²·°F),,0dqh5oTcz4aP$fn7IYtJ7P,,,,1' - 11 3/32",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,12.4224 BTU/(ft²·°F),0.1467 (h·ft²·°F)/BTU,Up to level: L3,0' - 0",,Chase - GWB & Metal Stud 3 1/8",,,09eUxCNaz3lOO$6VIXc4cu,,S02,20' - 10",,10.44 CF,0' - 3 1/8",
0.7,,7 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 10 1/4" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0304 BTU/(h·ft²·°F),,0stYUSRTn5hRP77Rc$SYLj,,,,1' - 8 1/8",,,,New Construction,None,,,,,3,,Non-bearing,14.9970 BTU/(ft²·°F),32.9206 (h·ft²·°F)/BTU,Up to level: Block 43 - Parapet,0' - 0",,Exterior - 10 1/4" Rainscreen w Insultation on Metal Stud,,,2_V46gFRv1gwDUl815bqYC,,X03,5' - 8",,6.05 CF,0' - 10 1/4",
0.7,,9 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L5,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 10 1/4" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0304 BTU/(h·ft²·°F),,0stYUSRTn5hRP77Rc$SYLk,,,,1' - 8 13/16",,,,New Construction,None,,,,,3,,Non-bearing,14.9970 BTU/(ft²·°F),32.9206 (h·ft²·°F)/BTU,Up to level: Block 43 - Parapet,0' - 0",,Exterior - 10 1/4" Rainscreen w Insultation on Metal Stud,,,2_V46gFRv1gwDUl815bqYC,,X03,5' - 8",,7.92 CF,0' - 10 1/4",
0.7,,6 SF,B2010,Exterior Walls,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 3 1/8",,,Soffit,6.8169 BTU/(h·ft²·°F),,1niWRop5j6XxysFSVum4_m,,,,0' - 10 5/16",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,12.4224 BTU/(ft²·°F),0.1467 (h·ft²·°F)/BTU,Up to level: L5,0' - 0",,Chase - GWB & Metal Stud 3 1/8",,,09eUxCNaz3lOO$6VIXc4cu,,S02,13' - 4",,1.66 CF,0' - 3 1/8",
0.7,,6 SF,B2010,Exterior Walls,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 3 1/8",,,Soffit,6.8169 BTU/(h·ft²·°F),,2NVDfmr3r0pwm4jNoJqP3b,,,,0' - 10 5/16",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,12.4224 BTU/(ft²·°F),0.1467 (h·ft²·°F)/BTU,Up to level: L4,0' - 0",,Chase - GWB & Metal Stud 3 1/8",,,09eUxCNaz3lOO$6VIXc4cu,,S02,13' - 4",,1.66 CF,0' - 3 1/8",
0.7,,52 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,22Gx_RTqTArPWCEi3QY9cS,,,,4' - 3 3/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L5,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,12' - 10",,20.99 CF,0' - 4 7/8",
0.7,,52 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,22Gx_RTqTArPWCEi3QY9bv,,,,4' - 3 3/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L4,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,12' - 10",,20.99 CF,0' - 4 7/8",
0.7,,41 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,22Gx_RTqTArPWCEi3QY9bQ,,,,4' - 3 3/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L3,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,10' - 3",,16.76 CF,0' - 4 7/8",
0.7,,126 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7Gcvf,,,,15' - 10",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,51.06 CF,0' - 4 7/8",
0.7,,77 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7Gcvg,,,,7' - 4",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,31.40 CF,0' - 4 7/8",
0.7,,77 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7Gcvh,,,,7' - 4",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,31.40 CF,0' - 4 7/8",
0.7,,82 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7Gcfo,,,,7' - 9 1/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,33.36 CF,0' - 4 7/8",
0.7,,78 SF,B2010,Exterior Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 4 1/4",,,Soffit,6.6534 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7Gcjy,,,,7' - 9 1/8",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,17.6896 BTU/(ft²·°F),0.1503 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Chase - GWB & Metal Stud 4 1/4",,,3FDTNrVMX5CROAaE1LHtAP,,S03,11' - 0 1/2",,27.50 CF,0' - 4 1/4",
0.7,,111 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7GcRe,,,,15' - 10",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,2' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,10' - 1",,45.02 CF,0' - 4 7/8",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7GcRf,,,,8' - 2 9/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,2' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,10' - 1",,30.81 CF,0' - 4 7/8",
0.7,,71 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7GcRg,,,,7' - 4 9/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,2' - 0",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,10' - 1",,28.67 CF,0' - 4 7/8",
0.7,,288 SF,B2010,Exterior Walls,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 4 1/4",,,Soffit,6.6534 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7GcHJ,,,,15' - 10",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,17.6896 BTU/(ft²·°F),0.1503 (h·ft²·°F)/BTU,Up to level: L3,0' - 0",,Chase - GWB & Metal Stud 4 1/4",,,3FDTNrVMX5CROAaE1LHtAP,,S03,18' - 10",,102.01 CF,0' - 4 1/4",
0.7,,121 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7Gc6$,,,,15' - 6 15/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,49.09 CF,0' - 4 7/8",
0.7,,77 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7GXza,,,,7' - 8 5/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,31.40 CF,0' - 4 7/8",
0.7,,78 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 4 7/8" Partition (NR),,NR,Interior,0.0472 BTU/(h·ft²·°F),,0mlMV$YD96HATmmaM7GXom,,,,7' - 8 5/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4406 BTU/(ft²·°F),21.1904 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Interior - 4 7/8" Partition (NR),,,26$5pwZTH4A8RTAK02gn25,,P02,11' - 0 1/2",,31.48 CF,0' - 4 7/8",
0.7,,78 SF,B2010,Exterior Walls,,R2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 3 1/8",,,Soffit,6.8169 BTU/(h·ft²·°F),,3DE5vmczr4FuPFcnu5Roso,,,,9' - 3 15/16",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,12.4224 BTU/(ft²·°F),0.1467 (h·ft²·°F)/BTU,Up to level: R3,0' - 0",,Chase - GWB & Metal Stud 3 1/8",,,09eUxCNaz3lOO$6VIXc4cu,,S02,10' - 0",,20.43 CF,0' - 3 1/8",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7Wb,,,,9' - 6 11/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,45.72 CF,0' - 7 1/4",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7Y6,,,,9' - 6 11/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,45.72 CF,0' - 7 1/4",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7Y0,,,,9' - 6 11/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,45.72 CF,0' - 7 1/4",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7YD,,,,9' - 6 11/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,45.72 CF,0' - 7 1/4",
0.7,,76 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7YA,,,,9' - 6 11/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,45.72 CF,0' - 7 1/4",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7ZQ,,,,3' - 6 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,14.50 CF,0' - 7 1/4",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7fg,,,,3' - 6 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,14.50 CF,0' - 7 1/4",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7fm,,,,3' - 6 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,14.50 CF,0' - 7 1/4",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L3,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7fx,,,,3' - 6 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,14.50 CF,0' - 7 1/4",
0.7,,24 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L4,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Interior - 7 1/4" Partition (NR),,NR,Interior,0.0287 BTU/(h·ft²·°F),,24UQUejir30hZbTvW6h7f6,,,,3' - 6 1/16",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,1.4441 BTU/(ft²·°F),34.8921 (h·ft²·°F)/BTU,Unconnected,0' - 0",,Interior - 7 1/4" Partition (NR),,,1kJXG9J_12CxJk83GXH3Vz,,P04,8' - 0",,14.50 CF,0' - 7 1/4",
0.7,,203 SF,B2010,Exterior Walls,,L2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 6 5/8",,1 HR,Soffit,6.3327 BTU/(h·ft²·°F),,3AHdyHWLfEkggDuNP3tJpE,,,,27' - 1 15/16",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,28.8093 BTU/(ft²·°F),0.1579 (h·ft²·°F)/BTU,Up to level: L3,0' - 0",,Chase - GWB & Metal Stud 6 5/8",,,1YueUxVJH8SwhLiH$TP6Xo,,S04,10' - 9",,111.17 CF,0' - 6 5/8",
0.7,,65 SF,B2010,Exterior Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 6 5/8",,1 HR,Soffit,6.3327 BTU/(h·ft²·°F),,2sCvyR6xL9WPXuzdrVey$Y,,,,28' - 2 9/32",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,28.8093 BTU/(ft²·°F),0.1579 (h·ft²·°F)/BTU,Up to level: L2,0' - 0",,Chase - GWB & Metal Stud 6 5/8",,,1YueUxVJH8SwhLiH$TP6Xo,,S04,11' - 6 1/2",,32.01 CF,0' - 6 5/8",
0.7,,13 SF,B2010,Exterior Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 3 1/8",,,Soffit,6.8169 BTU/(h·ft²·°F),,3SnOVw7ojDZ8nnFzhqldd3,,,,1' - 7 11/32",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,12.4224 BTU/(ft²·°F),0.1467 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Chase - GWB & Metal Stud 3 1/8",,,09eUxCNaz3lOO$6VIXc4cu,,S02,11' - 0 1/2",,3.47 CF,0' - 3 1/8",
0.7,,8 SF,B2010,Exterior Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 3 1/8",,,Soffit,6.8169 BTU/(h·ft²·°F),,3SnOVw7ojDZ8nnFzhqlddI,,,,1' - 2 13/32",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,12.4224 BTU/(ft²·°F),0.1467 (h·ft²·°F)/BTU,Up to level: L2,-0' - 6",,Chase - GWB & Metal Stud 3 1/8",,,09eUxCNaz3lOO$6VIXc4cu,,S02,11' - 0 1/2",,2.07 CF,0' - 3 1/8",
,,259 SF,B2020200,Curtain Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Curtain Wall,Curtain Wall: Block 37 Storefront,,,Exterior,,,3SnOVw7ojDZ8nnFzhqldj0,,,,24' - 0",,,,New Construction,None,,,,,,,Non-bearing,,,Up to level: L2,-0' - 9",,Block 37 Storefront,,,2tLJY6oEzCtgzHr0C65woG,,,10' - 9 1/2",,,,
,,18 SF,B2020200,Curtain Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Curtain Wall,Curtain Wall: Block 37 Storefront,,,Exterior,,,3SnOVw7ojDZ8nnFzhqldLV,,,,2' - 2 1/2",,,,New Construction,None,,,,,,,Non-bearing,,,Up to level: L2,-3' - 4 1/2",,Block 37 Storefront,,,2tLJY6oEzCtgzHr0C65woG,,,8' - 2",,,,
,,18 SF,B2020200,Curtain Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Curtain Wall,Curtain Wall: Block 37 Storefront,,,Exterior,,,3SnOVw7ojDZ8nnFzhqldGa,,,,2' - 2 1/2",,,,New Construction,None,,,,,,,Non-bearing,,,Up to level: L2,-3' - 4 1/2",,Block 37 Storefront,,,2tLJY6oEzCtgzHr0C65woG,,,8' - 2",,,,
,,75 SF,B2020200,Curtain Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Curtain Wall,Curtain Wall: _Not Defined,,,Exterior,,,3SnOVw7ojDZ8nnFzhqlcia,,,,9' - 1 1/2",,,,New Construction,None,,,,,,,Non-bearing,,,Up to level: L2,-3' - 4 1/2",,_Not Defined,,,2mjs6M6G98BxHa18ZZD5sI,,CW01,8' - 2",,,,
0.7,,9 SF,B2010,Exterior Walls,,L2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Chase - GWB & Metal Stud 4 1/4",,,Soffit,6.6534 BTU/(h·ft²·°F),,3voFgg85z9v87ITax$sRZ7,,,,1' - 2 13/16",,,,New Construction,None,,,,,3,Metal Furring,Non-bearing,17.6896 BTU/(ft²·°F),0.1503 (h·ft²·°F)/BTU,Up to level: L3,0' - 0",,Chase - GWB & Metal Stud 4 1/4",,,3FDTNrVMX5CROAaE1LHtAP,,S03,10' - 9",,3.05 CF,0' - 4 1/4",
