Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorptance,Angle From Vertical,Area,Assembly Code,Assembly Description,Assembly Name,Base Constraint,Base Offset,Bottom Width,Comments,Cost,Count,Cross-Section,Default Exterior Angle,Default Interior Angle,Description,Enable Angle Overrides,Estimated Reinforcement Volume,Excavation Volume on Toposolid,Exchange Entity ID,Exchange ID,Export to IFC,Export to IFC As,Export Type to IFC,Export Type to IFC As,Exterior Angle,Family,Family and Type,Family Thumbnail,Fire Rating,Function,Heat Transfer Coefficient (U),IFC Predefined Type,IfcGUID,Image,Interior Angle,Keynote,Length,Manufacturer,Mark,Model,Phase Created,Phase Demolished,Rebar Cover,Rebar Cover - Exterior Face,Rebar Cover - Interior Face,Rebar Cover - Other Faces,Roughness,Structural Material,Structural Usage,Thermal Mass,Thermal Resistance (R),Top Constraint,Top Offset,Top Width,Type,Type Comments,Type IFC Predefined Type,Type IfcGUID,Type Image,Type Mark,Unconnected Height,URL,Volume,Width,Width Measured At
0.7,,735 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Party - 6 1/8" (2-hr),,2 HR,Interior,0.0234 BTU/(h·ft²·°F),,2mejqQiN994Q2UMYaLHeOk,,,,64' - 2 13/32",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,5.1774 BTU/(ft²·°F),42.8246 (h·ft²·°F)/BTU,Up to level: L2,0' - 0",,Party - 6 1/8" (2-hr),,,1UzjuOoQr4P85_KNmJAtS$,,W01,11' - 6 1/2",,716.80 CF,0' - 11 3/4",
0.7,,259 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0217 BTU/(h·ft²·°F),,2mejqQiN994Q2UMYaLHeJu,,,,42' - 6 1/4",,,,New Construction,None,,,,,3,,Non-bearing,14.9105 BTU/(ft²·°F),46.0097 (h·ft²·°F)/BTU,Up to level: L2,-2' - 6",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,,3GC6dLJPT0_w0HkhCmqXpI,,X04,9' - 0 1/2",,272.13 CF,1' - 0 5/8",
0.7,,70 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0217 BTU/(h·ft²·°F),,2mejqQiN994Q2UMYaLHeI9,,,,8' - 6 9/16",,,,New Construction,None,,,,,3,,Non-bearing,14.9105 BTU/(ft²·°F),46.0097 (h·ft²·°F)/BTU,Up to level: L2,0' - 0",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,,3GC6dLJPT0_w0HkhCmqXpI,,X04,8' - 1",,72.65 CF,1' - 0 5/8",
0.7,,16 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0217 BTU/(h·ft²·°F),,2mejqQiN994Q2UMYaLHeHn,,,,6' - 0",,,,New Construction,None,,,,,3,,Non-bearing,14.9105 BTU/(ft²·°F),46.0097 (h·ft²·°F)/BTU,Up to level: L2,0' - 0",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,,3GC6dLJPT0_w0HkhCmqXpI,,X04,8' - 1",,16.36 CF,1' - 0 5/8",
0.7,,336 SF,B2010158,Ext. Wall - Brick Veneer w/ Stud,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,2 HR,Exterior,0.0217 BTU/(h·ft²·°F),,1nVAY8og5DUQW261No7qYZ,,,,38' - 0 3/8",,,,New Construction,None,,,,,3,,Non-bearing,14.9105 BTU/(ft²·°F),46.0097 (h·ft²·°F)/BTU,Up to level: L2,-2' - 6",,Exterior - 12 5/8" Rainscreen w Insultation on Metal Stud,,,3GC6dLJPT0_w0HkhCmqXpI,,X04,9' - 0 1/2",,353.56 CF,1' - 0 5/8",
0.7,,618 SF,B2010,Exterior Walls,,L1 - Block 37,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 10",,4 HR,Core-shaft,0.7252 BTU/(h·ft²·°F),,1nVAY8og5DUQW261No7qjz,,,,8' - 10 11/16",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,18.7763 BTU/(ft²·°F),1.3789 (h·ft²·°F)/BTU,Up to level: Parapet 2,0' - 0",,Core - Concrete 10",,,2Rqwfi9uL0W9XTWzRAs_GP,,C01,74' - 3 1/2",,512.89 CF,0' - 10",
0.7,,1112 SF,A1010200,Foundation Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Foundation - 24" Concrete,,4 HR,Foundation,0.3022 BTU/(h·ft²·°F),,1nVAY8og5DUQW261No7qp6,,,,81' - 2 3/16",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,45.0630 BTU/(ft²·°F),3.3092 (h·ft²·°F)/BTU,Up to level: L1 - Block 37,0' - 0",,Foundation - 24" Concrete,,,2Rqwfi9uL0W9XTWzRAs_6e,,C04,13' - 11 1/2",,2205.75 CF,2' - 0",
0.7,,518 SF,B2010,Exterior Walls,,L1 - Block 43,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,2sZ7hyxP95PP6QP7VEeS$k,,,,28' - 6",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: L3,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,18' - 10",,517.92 CF,1' - 0",
0.7,,184 SF,B2010,Exterior Walls,,Parking,-0' - 6",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Core - Concrete 12",,4 HR,Core-shaft,0.6044 BTU/(h·ft²·°F),,2sZ7hyxP95PP6QP7VEeS_3,,,,9' - 7 1/2",,,,New Construction,None,,,,,3,Concrete, Cast-in-Place gray,Non-bearing,22.5315 BTU/(ft²·°F),1.6546 (h·ft²·°F)/BTU,Up to level: L1 - Block 43,0' - 0",,Core - Concrete 12",,,2Rqwfi9uL0W9XTWzRAs_ER,,C02,17' - 5",,183.97 CF,1' - 0",
0.7,,1214 SF,C1010145,Partitions - Drywall w/ Metal Stud,,L2,0' - 0",,,,1,Vertical,,,,,,,,,By Type,,Default,,,Basic Wall,Basic Wall: Party - 6 1/8" (2-hr),,2 HR,Interior,0.0234 BTU/(h·ft²·°F),,2wYho76PDA9vn_AFRLvLel,,,,33' - 2 5/8",,,,New Construction,None,,,,,3,Metal Stud Layer,Non-bearing,5.1774 BTU/(ft²·°F),42.8246 (h·ft²·°F)/BTU,Up to level: L5,0' - 0",,Party - 6 1/8" (2-hr),,,1UzjuOoQr4P85_KNmJAtS$,,W01,37' - 5",,1188.42 CF,0' - 11 3/4",
